Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2000,2000,kg/ha,9898.4,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2001,2001,kg/ha,9799,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2002,2002,kg/ha,9989.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2003,2003,kg/ha,10501.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2004,2004,kg/ha,11200.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2005,2005,kg/ha,11498.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2006,2006,kg/ha,12098.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2007,2007,kg/ha,9969.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2008,2008,kg/ha,11499.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2009,2009,kg/ha,10479.7,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2010,2010,kg/ha,13010.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2011,2011,kg/ha,7403.7,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2012,2012,kg/ha,7201.3,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2013,2013,kg/ha,7000.1,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2014,2014,kg/ha,8194.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2015,2015,kg/ha,8182.7,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2016,2016,kg/ha,9159.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2017,2017,kg/ha,9385.6,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2018,2018,kg/ha,10199.9,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2019,2019,kg/ha,7806.8,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2020,2020,kg/ha,7904.7,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2021,2021,kg/ha,7986.5,A,Official figure,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2022,2022,kg/ha,8182.9,E,Estimated value,
QCL,Crops and livestock products,159,Nigeria,5412,Yield,137,Yams,2023,2023,kg/ha,8203.4,E,Estimated value,
